Date,Open,High,Low,Close,Adj Close,Volume
2022-07-29,189.809998,192.490005,188.720001,191.529999,191.529999,4507100
2022-08-01,191.550003,195.259995,191.279999,194.089996,194.089996,3349500
2022-08-02,193.270004,193.399994,187.869995,187.949997,187.949997,3401800
2022-08-03,189.630005,195.979996,189.630005,195.419998,195.419998,3292700
2022-08-04,195.759995,199.050003,195.419998,197.160004,197.160004,3534100
2022-08-05,195.889999,199.229996,195.330002,199.080002,199.080002,2409700
2022-08-08,200.000000,204.309998,199.779999,201.839996,201.839996,3040800
2022-08-09,200.750000,200.750000,193.720001,195.199997,195.199997,3914500
2022-08-10,199.270004,201.660004,198.600006,201.429993,201.429993,4094400
2022-08-11,200.100006,204.289993,200.070007,202.179993,202.179993,3337200
2022-08-12,203.350006,206.600006,201.729996,206.470001,206.470001,3014100
2022-08-15,206.000000,209.020004,204.899994,208.039993,208.039993,4075500
2022-08-16,206.660004,217.389999,206.500000,214.119995,214.119995,5892200
2022-08-17,212.009995,221.190002,211.500000,215.369995,215.369995,8082100
2022-08-18,215.110001,218.089996,214.570007,216.470001,216.470001,3011800
2022-08-19,215.500000,215.839996,209.850006,211.360001,211.360001,3347300
2022-08-22,209.210007,212.580002,208.479996,209.990005,209.990005,4136600
2022-08-23,210.000000,211.360001,207.279999,207.470001,207.470001,2533900
2022-08-24,206.809998,210.550003,205.779999,208.410004,208.410004,2634300
2022-08-25,208.589996,211.169998,207.949997,210.960007,210.960007,2634700
2022-08-26,211.729996,212.630005,200.940002,200.990005,200.990005,3720500
2022-08-29,200.119995,203.610001,199.080002,201.070007,201.070007,3273800
2022-08-30,202.460007,203.300003,196.410004,197.220001,197.220001,3906900
2022-08-31,197.100006,197.429993,194.000000,194.139999,194.139999,5145100
2022-09-01,193.789993,195.949997,192.610001,195.759995,195.759995,3462200
2022-09-02,197.399994,199.029999,194.289993,195.509995,195.509995,3165900
2022-09-06,196.169998,196.809998,191.250000,192.960007,192.960007,3128800
2022-09-07,193.710007,201.940002,193.580002,201.300003,201.300003,4086500
2022-09-08,200.649994,204.509995,198.729996,204.380005,204.380005,3564200
2022-09-09,203.979996,206.529999,203.320007,205.649994,205.649994,3176400
2022-09-12,206.000000,209.419998,205.500000,206.399994,206.399994,3218700
2022-09-13,201.259995,202.889999,192.949997,193.630005,193.630005,4441400
2022-09-14,194.550003,195.220001,190.210007,192.389999,192.389999,3963700
2022-09-15,193.320007,194.490005,190.009995,191.039993,191.039993,3309700
2022-09-16,189.000000,193.070007,188.750000,191.809998,191.809998,10186300
2022-09-19,190.910004,195.899994,190.669998,195.100006,195.100006,3351900
2022-09-20,192.619995,194.179993,188.679993,190.410004,190.410004,3650200
2022-09-21,191.910004,194.809998,188.320007,188.360001,188.360001,2925700
2022-09-22,188.000000,189.779999,186.509995,188.119995,188.119995,2864500
2022-09-23,186.750000,189.160004,185.559998,188.130005,188.130005,3382000
